Name,State,Year,Population.Size,CalfCowRatio,Sample.Size_Calf.Cow,Survey.Month_Calf.Cow,Females.Harvested_Harvest,PrePost,Eprecipb,Eprecipa,Totprecipb,Totprecipa,Ewinter,Wintertot,Wintera,Grizzly.Bear,Wolf,SummerNDVI,WinterNDVI,Ecotype
3,1,2006,727,30,500,February,124,post,86.3539,168.2966,157.6128,245.99567,90.7146,160.0491,160.0491,Occasional sighting,Populations well-established,27.10089561,4.85827686,B
3,1,2002,853,26,,February,216,post,108.5668,87.326,187.6194,158.17627,110.1417,267.0069,267.0069,Occasional sighting,Populations well-established,26.04952988,-0.444685989,B
4,1,2008,947,14,670,February,75,post,128.3103,127.4459,198.2433,229.2035,147.3747,238.5347,238.5347,Occasional sighting,Populations well-established,41.93971754,17.71494882,B
4,1,2003,1000,20,,February,286,post,90.3686,129.3141,157.8714,236.0417,118.2076,184.135,184.135,Occasional sighting,Populations well-established,36.15026274,16.3567676,B
4,1,2004,738,12.5,594,February,151,post,141.4773,90.3686,266.0352,157.8714,66.0952,161.6369,161.6369,Occasional sighting,Populations well-established,39.3862446,15.51890011,B
4,1,2005,640,21,430,February,228,post,200.0339,141.4773,290.6686,266.0352,163.6906,239.8074,239.8074,Occasional sighting,Populations well-established,39.98668336,17.45399012,B
4,1,2006,1085,26,439,February,100,post,102.4839,200.0339,176.2346,290.6686,107.4796,173.7919,173.7919,Occasional sighting,Populations well-established,37.63939442,12.00012682,B
4,1,1996,1360,30,,February,189,post,118.8732,193.2012,167.5496,322.15923,215.5881,317.6922,317.6922,Occasional sighting,Populations well-established,34.26774135,13.34172134,B
4,1,2009,695,22,569,February,111,post,130.9951,128.3103,239.2627,198.2433,66.8627,140.1013,140.1013,Occasional sighting,Populations well-established,37.49242849,15.17227653,B
4,1,2007,618,24,574,February,160,post,127.4459,102.4839,229.2035,176.2346,120.4841,207.5774,207.5774,Occasional sighting,Populations well-established,33.94481679,9.111894561,B
4,1,2002,1213,34,,February,161,post,129.3141,102.28,236.0417,183.95795,113.9566,294.5555,294.5555,Occasional sighting,Populations well-established,33.2748534,8.218126361,B
4,1,2010,744,20,744,February,130,post,233.744,130.9951,353.3276,239.2627,146.0099,240.7067,240.7067,Occasional sighting,Populations well-established,36.96551126,18.87257782,B
4,1,1992,1273,NA,,February,136,post,151.0206,180.3475,243.0714,274.676,101.41,217.6698,217.6698,Occasional sighting,Populations well-established,27.44139335,13.53949626,B
4,1,1998,NA,37,,February,155,post,177.4904,165.3363,265.04,300.6606,169.7605,234.3539,234.3539,Occasional sighting,Populations well-established,36.15833202,20.72444046,B
4,1,1993,NA,NA,,February,160,post,178.1106,151.0206,365.29319,243.0714,65.3304,157.9964,157.9964,Occasional sighting,Populations well-established,37.66466759,25.23798443,B
4,1,2001,NA,NA,,February,122,post,102.28,112.528,183.95795,190.5906,95.1194,178.9986,178.9986,Occasional sighting,Populations well-established,34.53652314,5.199345828,B
4,1,1991,NA,NA,,February,168,post,180.3475,82.2643,274.676,261.9386,132.6931,157.8107,157.8107,Occasional sighting,Populations well-established,29.43175215,11.27964659,B
4,1,1989,1028,32,,February,46,post,75.4737,107.6564,201.8035,153.24027,117.2166,151.2833,151.2833,Occasional sighting,Populations well-established,33.39821221,11.96903639,B
4,1,1997,1352,23,,February,NA,post,165.3363,118.8732,300.6606,167.5496,100.905,204.2103,204.2103,Occasional sighting,Populations well-established,34.56414194,16.274251,B
4,1,1999,1299,38,,February,114,post,129.3005,177.4904,188.50828,265.04,132.6084,201.4367,201.4367,Occasional sighting,Populations well-established,39.08711266,20.55551869,B
4,1,2000,NA,NA,,February,393,post,112.528,129.3005,190.5906,188.50828,68.8647,170.196,170.196,Occasional sighting,Populations well-established,26.26253404,5.753187521,B
4,1,1995,1439,28,,February,158,post,193.2012,116.4327,322.15923,185.92963,191.0261,270.8087,270.8087,Occasional sighting,Populations well-established,29.88468495,13.9224875,B
5,1,2004,763,18.4,763,February,164,post,149.9335,89.8564,299.5899,155.6584,79.0549,170.9892,170.9892,Occasional sighting,Populations well-established,38.47011838,26.77001011,B
5,1,2001,536,26,,February,135,post,124.3166,99.5231,217.5782,178.54034,109.7886,213.7369,213.7369,Occasional sighting,Populations well-established,35.36840432,23.32313826,B
5,1,2010,395,17,379,February,81,post,208.5604,131.2992,326.4906,245.6316,150.3028,253.6898,253.6898,Occasional sighting,Populations well-established,39.50705754,32.31768473,B
5,1,2009,454,26,454,February,81,post,131.2992,133.3496,245.6316,216.5376,69.843,149.2311,149.2311,Occasional sighting,Populations well-established,39.89055762,29.1800971,B
5,1,2008,560,21,534,February,55,post,133.3496,135.8962,216.5376,227.8074,146.0495,237.874,237.874,Occasional sighting,Populations well-established,40.60861508,29.40279065,B
5,1,2007,470,21,470,February,101,post,135.8962,96.3196,227.8074,172.7652,127.0398,217.2978,217.2978,Occasional sighting,Populations well-established,33.18468276,23.32593032,B
5,1,2005,NA,17,72,February,220,post,201.7025,149.9335,285.9721,299.5899,197.6729,260.5183,260.5183,Occasional sighting,Populations well-established,40.44871957,28.95235776,B
5,1,2003,405,17.4,405,February,214,post,89.8564,147.8777,155.6584,260.9679,145.1118,197.8379,197.8379,Occasional sighting,Populations well-established,33.99499385,23.28761922,B
5,1,2002,722,24,,February,159,post,147.8777,124.3166,260.9679,217.5782,141.2214,333.688,333.688,Occasional sighting,Populations well-established,33.53329743,22.62695948,B
5,1,1993,918,37,,February,117,post,168.1998,134.7562,359.8769,257.653,84.1395,195.022,195.022,Occasional sighting,Populations well-established,40.55168024,40.69301441,B
5,1,1991,1052,41,,February,250,post,190.9744,96.5342,277.679,307.2939,153.9151,197.2299,197.2299,Occasional sighting,Populations well-established,30.80775443,24.70276648,B
5,1,2000,705,29,,February,324,post,99.5231,125.1664,178.54034,189.13217,78.0037,190.5428,190.5428,Occasional sighting,Populations well-established,27.37561775,13.23155475,B
5,1,1992,NA,37,,February,261,post,134.7562,190.9744,257.653,277.679,133.034,275.4037,275.4037,Occasional sighting,Populations well-established,29.75165151,23.86013061,B
5,1,1995,1251,35,,February,177,post,184.1045,136.7228,325.4272,216.34904,260.7917,359.2292,359.2292,Occasional sighting,Populations well-established,31.7681633,25.56666386,B
5,1,1996,NA,43,,February,261,post,133.7784,184.1045,209.2893,325.4272,281.8911,394.0002,394.0002,Occasional sighting,Populations well-established,34.76842844,24.75175512,B
5,1,2006,376,25,376,February,100,post,96.3196,201.7025,172.7652,285.9721,120.7875,184.6863,184.6863,Occasional sighting,Populations well-established,37.0695832,22.1748753,B
5,1,1997,887,26,,February,NA,post,152.175,133.7784,292.6528,209.2893,113.8983,215.6658,215.6658,Occasional sighting,Populations well-established,35.71009047,27.13499479,B
5,1,1998,NA,34,,February,143,post,187.1105,152.175,288.7753,292.6528,199.9759,273.1979,273.1979,Occasional sighting,Populations well-established,38.38017918,33.65952544,B
5,1,1999,1025,37,,February,190,post,125.1664,187.1105,189.13217,288.7753,154.8545,222.4618,222.4618,Occasional sighting,Populations well-established,40.4768472,32.47642303,B
6,1,1992,130,24.03846154,129,April,NA,post,296.0144,186.9775,466.3553,314.1008,117.3802,263.9104,263.9104,Occasional sighting,Present at low densities,4.425525498,3.74007022,B
6,1,2009,97,27.77777778,92,April,NA,post,159.3382,263.174,281.137,376.8335,87.8578,194.2247,194.2247,Occasional sighting,Present at low densities,9.531870641,6.924054685,B
6,1,1989,182,44.44444444,169,April,NA,post,121.7103,183.1454,342.0407,230.43206,154.778,222.1665,222.1665,Occasional sighting,Present at low densities,1.078590822,-1.728265608,B
6,1,2009,97,27.77777778,92,April,NA,post,159.3382,263.174,281.137,376.8335,87.8578,194.2247,194.2247,Occasional sighting,Present at low densities,9.531870641,6.924054685,B
6,1,2010,107,39.13043478,96,April,NA,post,230.0582,159.3382,359.3903,281.137,183.4823,341.5012,341.5012,Occasional sighting,Present at low densities,4.129310408,2.537526643,B
6,1,2010,107,39.13043478,96,April,NA,post,230.0582,159.3382,359.3903,281.137,183.4823,341.5012,341.5012,Occasional sighting,Present at low densities,4.129310408,2.537526643,B
6,1,2010,107,39.13043478,96,April,NA,post,230.0582,159.3382,359.3903,281.137,183.4823,341.5012,341.5012,Occasional sighting,Present at low densities,4.129310408,2.537526643,B
6,1,1989,182,44.44444444,169,April,NA,post,121.7103,183.1454,342.0407,230.43206,154.778,222.1665,222.1665,Occasional sighting,Present at low densities,1.078590822,-1.728265608,B
6,1,2009,97,27.77777778,92,April,NA,post,159.3382,263.174,281.137,376.8335,87.8578,194.2247,194.2247,Occasional sighting,Present at low densities,9.531870641,6.924054685,B
6,1,1989,182,44.44444444,169,April,NA,post,121.7103,183.1454,342.0407,230.43206,154.778,222.1665,222.1665,Occasional sighting,Present at low densities,1.078590822,-1.728265608,B
6,1,1991,75,33.92857143,75,April,NA,post,186.9775,81.911,314.1008,329.7128,129.5618,224.2797,224.2797,Occasional sighting,Present at low densities,0.734127365,-3.542234089,B
6,1,1991,75,33.92857143,75,April,NA,post,186.9775,81.911,314.1008,329.7128,129.5618,224.2797,224.2797,Occasional sighting,Present at low densities,0.734127365,-3.542234089,B
6,1,2008,107,28.78787879,85,April,NA,post,263.174,146.895,376.8335,282.4389,176.6052,390.3264,390.3264,Occasional sighting,Present at low densities,7.249200077,7.999922115,B
6,1,1992,130,24.03846154,129,April,NA,post,296.0144,186.9775,466.3553,314.1008,117.3802,263.9104,263.9104,Occasional sighting,Present at low densities,4.425525498,3.74007022,B
6,1,1992,130,24.03846154,129,April,NA,post,296.0144,186.9775,466.3553,314.1008,117.3802,263.9104,263.9104,Occasional sighting,Present at low densities,4.425525498,3.74007022,B
6,1,1993,165,38.79310345,161,April,NA,post,248.5568,296.0144,453.3343,466.3553,109.181,233.2857,233.2857,Occasional sighting,Present at low densities,9.191310507,6.876269203,B
6,1,1993,165,38.79310345,161,April,NA,post,248.5568,296.0144,453.3343,466.3553,109.181,233.2857,233.2857,Occasional sighting,Present at low densities,9.191310507,6.876269203,B
6,1,1993,165,38.79310345,161,April,NA,post,248.5568,296.0144,453.3343,466.3553,109.181,233.2857,233.2857,Occasional sighting,Present at low densities,9.191310507,6.876269203,B
6,1,1995,125,28.86597938,125,April,NA,post,233.155,130.5004,391.6674,277.2335,222.9917,356.215,356.215,Occasional sighting,Present at low densities,6.778554555,4.910042812,B
6,1,1995,125,28.86597938,125,April,NA,post,233.155,130.5004,391.6674,277.2335,222.9917,356.215,356.215,Occasional sighting,Present at low densities,6.778554555,4.910042812,B
6,1,1991,75,33.92857143,75,April,NA,post,186.9775,81.911,314.1008,329.7128,129.5618,224.2797,224.2797,Occasional sighting,Present at low densities,0.734127365,-3.542234089,B
6,1,2004,103,27.53623188,88,April,NA,post,153.8722,164.9606,297.9529,211.635,80.3938,215.6682,215.6682,Occasional sighting,Present at low densities,-2.26505771,-3.380764433,B
6,1,2005,237,23.47826087,142,April,NA,post,229.7615,153.8722,364.4866,297.9529,170.292,239.9248,239.9248,Occasional sighting,Present at low densities,11.18660674,11.91950771,B
6,1,1995,125,28.86597938,125,April,NA,post,233.155,130.5004,391.6674,277.2335,222.9917,356.215,356.215,Occasional sighting,Present at low densities,6.778554555,4.910042812,B
6,1,2001,129,45.20547945,106,April,NA,post,171.0752,202.4461,265.85405,294.9768,100.4077,271.7335,271.7335,Occasional sighting,Present at low densities,-7.558840009,-14.5351315,B
6,1,2002,107,39.0625,89,April,NA,post,159.2832,171.0752,293.6268,265.85405,112.4547,329.3484,329.3484,Occasional sighting,Present at low densities,-7.216459534,-7.108607369,B
6,1,2002,107,39.0625,89,April,NA,post,159.2832,171.0752,293.6268,265.85405,112.4547,329.3484,329.3484,Occasional sighting,Present at low densities,-7.216459534,-7.108607369,B
6,1,2002,107,39.0625,89,April,NA,post,159.2832,171.0752,293.6268,265.85405,112.4547,329.3484,329.3484,Occasional sighting,Present at low densities,-7.216459534,-7.108607369,B
6,1,2003,123,24.13793103,108,April,NA,post,164.9606,159.2832,211.635,293.6268,127.6779,225.573,225.573,Occasional sighting,Present at low densities,2.390220923,1.148069495,B
6,1,2003,123,24.13793103,108,April,NA,post,164.9606,159.2832,211.635,293.6268,127.6779,225.573,225.573,Occasional sighting,Present at low densities,2.390220923,1.148069495,B
6,1,2003,123,24.13793103,108,April,NA,post,164.9606,159.2832,211.635,293.6268,127.6779,225.573,225.573,Occasional sighting,Present at low densities,2.390220923,1.148069495,B
6,1,2007,76,19.29824561,68,April,NA,post,146.895,84.7689,282.4389,207.469,147.5443,272.9255,272.9255,Occasional sighting,Present at low densities,7.200797414,4.595604473,B
6,1,2004,103,27.53623188,88,April,NA,post,153.8722,164.9606,297.9529,211.635,80.3938,215.6682,215.6682,Occasional sighting,Present at low densities,-2.26505771,-3.380764433,B
6,1,2008,107,28.78787879,85,April,NA,post,263.174,146.895,376.8335,282.4389,176.6052,390.3264,390.3264,Occasional sighting,Present at low densities,7.249200077,7.999922115,B
6,1,2005,81,22.80701754,70,April,NA,post,229.7615,153.8722,364.4866,297.9529,170.292,239.9248,239.9248,Occasional sighting,Present at low densities,11.18660674,11.91950771,B
6,1,2005,81,22.80701754,70,April,NA,post,229.7615,153.8722,364.4866,297.9529,170.292,239.9248,239.9248,Occasional sighting,Present at low densities,11.18660674,11.91950771,B
6,1,2005,81,22.80701754,70,April,NA,post,229.7615,153.8722,364.4866,297.9529,170.292,239.9248,239.9248,Occasional sighting,Present at low densities,11.18660674,11.91950771,B
6,1,2006,81,21.42857143,68,April,NA,post,84.7689,229.7615,207.469,364.4866,127.3064,251.6664,251.6664,Occasional sighting,Present at low densities,-2.591314364,-4.45697165,B
6,1,2006,81,21.42857143,68,April,NA,post,84.7689,229.7615,207.469,364.4866,127.3064,251.6664,251.6664,Occasional sighting,Present at low densities,-2.591314364,-4.45697165,B
6,1,2006,81,21.42857143,68,April,NA,post,84.7689,229.7615,207.469,364.4866,127.3064,251.6664,251.6664,Occasional sighting,Present at low densities,-2.591314364,-4.45697165,B
6,1,2007,76,19.29824561,68,April,NA,post,146.895,84.7689,282.4389,207.469,147.5443,272.9255,272.9255,Occasional sighting,Present at low densities,7.200797414,4.595604473,B
6,1,2007,76,19.29824561,68,April,NA,post,146.895,84.7689,282.4389,207.469,147.5443,272.9255,272.9255,Occasional sighting,Present at low densities,7.200797414,4.595604473,B
6,1,2008,107,28.78787879,85,April,NA,post,263.174,146.895,376.8335,282.4389,176.6052,390.3264,390.3264,Occasional sighting,Present at low densities,7.249200077,7.999922115,B
6,1,2004,103,27.53623188,88,April,NA,post,153.8722,164.9606,297.9529,211.635,80.3938,215.6682,215.6682,Occasional sighting,Present at low densities,-2.26505771,-3.380764433,B
6,1,2007,195,19.01408451,169,April,NA,post,146.895,84.7689,282.4389,207.469,147.5443,272.9255,272.9255,Occasional sighting,Present at low densities,7.200797414,4.595604473,B
6,1,2004,215,25.1497006,209,April,NA,post,153.8722,164.9606,297.9529,211.635,80.3938,215.6682,215.6682,Occasional sighting,Present at low densities,-2.26505771,-3.380764433,B
6,1,2004,215,25.1497006,209,April,NA,post,153.8722,164.9606,297.9529,211.635,80.3938,215.6682,215.6682,Occasional sighting,Present at low densities,-2.26505771,-3.380764433,B
6,1,2010,487,32.16374269,452,April,NA,post,230.0582,159.3382,359.3903,281.137,183.4823,341.5012,341.5012,Occasional sighting,Present at low densities,4.129310408,2.537526643,B
6,1,2005,237,23.47826087,142,April,NA,post,229.7615,153.8722,364.4866,297.9529,170.292,239.9248,239.9248,Occasional sighting,Present at low densities,11.18660674,11.91950771,B
6,1,2005,237,23.47826087,142,April,NA,post,229.7615,153.8722,364.4866,297.9529,170.292,239.9248,239.9248,Occasional sighting,Present at low densities,11.18660674,11.91950771,B
6,1,2006,215,22.98850575,214,April,NA,post,84.7689,229.7615,207.469,364.4866,127.3064,251.6664,251.6664,Occasional sighting,Present at low densities,-2.591314364,-4.45697165,B
6,1,2006,215,22.98850575,214,April,NA,post,84.7689,229.7615,207.469,364.4866,127.3064,251.6664,251.6664,Occasional sighting,Present at low densities,-2.591314364,-4.45697165,B
6,1,2006,215,22.98850575,214,April,NA,post,84.7689,229.7615,207.469,364.4866,127.3064,251.6664,251.6664,Occasional sighting,Present at low densities,-2.591314364,-4.45697165,B
6,1,2004,215,25.1497006,209,April,NA,post,153.8722,164.9606,297.9529,211.635,80.3938,215.6682,215.6682,Occasional sighting,Present at low densities,-2.26505771,-3.380764433,B
6,1,2007,195,19.01408451,169,April,NA,post,146.895,84.7689,282.4389,207.469,147.5443,272.9255,272.9255,Occasional sighting,Present at low densities,7.200797414,4.595604473,B
6,1,2003,179,28.77697842,179,April,NA,post,164.9606,159.2832,211.635,293.6268,127.6779,225.573,225.573,Occasional sighting,Present at low densities,2.390220923,1.148069495,B
6,1,2008,290,21.09704641,287,April,NA,post,263.174,146.895,376.8335,282.4389,176.6052,390.3264,390.3264,Occasional sighting,Present at low densities,7.249200077,7.999922115,B
6,1,2008,290,21.09704641,287,April,NA,post,263.174,146.895,376.8335,282.4389,176.6052,390.3264,390.3264,Occasional sighting,Present at low densities,7.249200077,7.999922115,B
6,1,2008,290,21.09704641,287,April,NA,post,263.174,146.895,376.8335,282.4389,176.6052,390.3264,390.3264,Occasional sighting,Present at low densities,7.249200077,7.999922115,B
6,1,2009,383,27.6450512,374,April,NA,post,159.3382,263.174,281.137,376.8335,87.8578,194.2247,194.2247,Occasional sighting,Present at low densities,9.531870641,6.924054685,B
6,1,2009,383,27.6450512,374,April,NA,post,159.3382,263.174,281.137,376.8335,87.8578,194.2247,194.2247,Occasional sighting,Present at low densities,9.531870641,6.924054685,B
6,1,2009,383,27.6450512,374,April,NA,post,159.3382,263.174,281.137,376.8335,87.8578,194.2247,194.2247,Occasional sighting,Present at low densities,9.531870641,6.924054685,B
6,1,2010,487,32.16374269,452,April,NA,post,230.0582,159.3382,359.3903,281.137,183.4823,341.5012,341.5012,Occasional sighting,Present at low densities,4.129310408,2.537526643,B
6,1,2001,129,45.20547945,106,April,NA,post,171.0752,202.4461,265.85405,294.9768,100.4077,271.7335,271.7335,Occasional sighting,Present at low densities,-7.558840009,-14.5351315,B
6,1,2005,194,12.21374046,147,April,26,post,229.7615,153.8722,364.4866,297.9529,170.292,239.9248,239.9248,Occasional sighting,Present at low densities,11.18660674,11.91950771,B
6,1,2007,195,19.01408451,169,April,NA,post,146.895,84.7689,282.4389,207.469,147.5443,272.9255,272.9255,Occasional sighting,Present at low densities,7.200797414,4.595604473,B
6,1,2000,68,58.53658537,65,April,NA,post,202.4461,122.129,294.9768,238.2865,72.8033,194.397,194.397,Occasional sighting,Present at low densities,2.643604415,-1.277030051,B
6,1,1996,69,32.69230769,69,April,NA,post,200.1793,233.155,296.31233,391.6674,248.7019,371.317,371.317,Occasional sighting,Present at low densities,1.319059489,-0.007645567,B
6,1,1996,69,32.69230769,69,April,NA,post,200.1793,233.155,296.31233,391.6674,248.7019,371.317,371.317,Occasional sighting,Present at low densities,1.319059489,-0.007645567,B
6,1,1997,111,30.48780488,107,April,NA,post,187.164,200.1793,415.8972,296.31233,132.6857,229.2076,229.2076,Occasional sighting,Present at low densities,10.22519496,8.116368847,B
6,1,1997,111,30.48780488,107,April,NA,post,187.164,200.1793,415.8972,296.31233,132.6857,229.2076,229.2076,Occasional sighting,Present at low densities,10.22519496,8.116368847,B
6,1,1997,111,30.48780488,107,April,NA,post,187.164,200.1793,415.8972,296.31233,132.6857,229.2076,229.2076,Occasional sighting,Present at low densities,10.22519496,8.116368847,B
6,1,1998,160,48.03921569,151,April,NA,post,184.7638,187.164,317.9295,415.8972,176.2448,328.3246,328.3246,Occasional sighting,Present at low densities,6.430248476,3.97371871,B
